"TABLE 2. Age-standardized* percentage of adults meeting criteria for current depression,?ÿby type of depression and state/territory --- Behavioral Risk Factor Surveillance System, United States, 2006 and 2008?",,,,
state,number,Major depression,Other depression,Any current depression
,,% (95% CI?),% (95% CI),% (95% CI)
Alabama,"2,758",4.1,8.9 (7.0--11.2),13.0 (11.0--15.4)
Alaska,"1,806",2.3,3.9 (2.9--5.3),6.2 (5.0--7.7)
Arizona,"5,314",3.6,6.7 (5.2--8.7),10.3 (8.5--12.5)
Arkansas,"4,809",4.9,7.0 (6.1--8.1),11.9 (10.8--13.2)
California,"5,177",3.7,5.4 (4.6--6.3),9.1 (8.1--10.2)
Colorado,"5,093",2.4 (1.8--3.0),4.1 (3.3--5.0),6.4 (5.5--7.5)
Connecticut,"4,109",2.0 (1.5--2.6),4.5 (3.7--5.5),6.5 (5.6--7.6)
Delaware,"3,780",3.4 (2.7--4.2),6.9 (5.5--8.6),10.2 (8.7--12.0)
District of Columbia,"3,485",2.8 (2.0--3.9),5.7 (4.7--6.9),8.4 (7.1--9.9)
Florida,"9,298",3.2 (2.6--3.9),6.6 (5.8--7.6),9.8 (8.8--10.9)
Georgia,"6,485",3.4 (2.9--4.1),5.0 (4.4--5.8),8.5 (7.6--9.5)
Hawaii,"5,901",3.1 (2.5--3.9),6.6 (5.7--7.6),9.7 (8.7--10.9)
Idaho,"4,570",2.9 (2.4--3.5),4.7 (3.9--5.6),7.6 (6.6--8.7)
Illinois,"4,879",3.1 (2.5--3.8),6.9 (5.9--8.1),10.0 (8.8--11.3)
Indiana,"5,746",3.9 (3.3--4.6),5.0 (4.4--5.8),8.9 (8.0--9.9)
Iowa,"4,692",2.1 (1.7--2.7),4.0 (3.3--4.9),6.2 (5.3--7.2)
Kansas,"3,783",3.6 (2.8--4.6),4.8 (3.8--5.9),8.3 (7.1--9.8)
Kentucky,N/A,N/A,N/A,N/A
Louisiana,"5,388",2.9 (2.4--3.5),7.9 (7.0--9.0),10.8 (9.7--11.9)
Maine,"3,724",3.5 (2.8--4.4),4.4 (3.6--5.3),7.9 (6.8--9.1)
Maryland,"4,261",2.6 (2.0--3.3),4.4 (3.6--5.5),7.0 (6.0--8.2)
Massachusetts,"5,835",2.6 (2.0--3.3),4.9 (3.9--6.2),7.5 (6.3--8.9)
Michigan,"5,077",3.8 (3.1--4.6),6.4 (5.6--7.3),10.2 (9.1--11.3)
Minnesota,"4,119",2.1 (1.7--2.6),3.8 (3.2--4.6),5.9 (5.1--6.8)
Mississippi,"6,387",5.3 (4.6--6.1),9.5 (8.4--10.7),14.8 (13.5--16.2)
Missouri,"4,771",4.1 (3.3--5.1),5.6 (4.6--6.7),9.7 (8.4--11.1)
Montana,"5,262",2.4 (2.0--3.0),4.1 (3.5--4.9),6.5 (5.7--7.4)
Nebraska,"4,840",2.3 (1.6--3.2),6.0 (4.6--7.9),8.3 (6.7--10.3)
Nevada,"3,222",3.7 (2.7--5.0),6.1 (4.8--7.5),9.8 (8.2--11.6)
New Hampshire,"5,230",3.0 (2.4--3.8),4.1 (3.4--4.9),7.1 (6.1--8.2)
New Jersey,N/A,N/A,N/A,N/A
New Mexico,"5,745",3.5 (2.9--4.1),5.3 (4.5--6.1),8.7 (7.8--9.8)
New York,"3,444",2.2 (1.7--2.8),5.6 (4.7--6.8),7.8 (6.7--9.1)
North Carolina,N/A,N/A,N/A,N/A
North Dakota,"4,482",1.5 (1.2--2.0),3.2 (2.6--4.0),4.8 (4.0--5.6)
Ohio,"5,797",3.9 (3.2--4.7),4.9 (4.1--5.9),8.8 (7.7--10.0)
Oklahoma,"6,117",4.7 (4.1--5.4),6.6 (5.9--7.5),11.3 (10.3--12.4)
Oregon,"4,294",3.5 (2.8--4.4),3.6 (2.9--4.4),7.1 (6.1--8.2)
Pennsylvania,N/A,N/A,N/A,N/A
Rhode Island,"4,002",3.4 (2.7--4.3),5.4 (4.4--6.5),8.8 (7.6--10.1)
South Carolina,"7,853",3.6 (3.0--4.2),6.0 (5.3--6.9),9.6 (8.7--10.6)
South Dakota,N/A,N/A,N/A,N/A
Tennessee,"3,860",4.1 (3.4--5.1),6.9 (5.7--8.2),11.0 (9.6--12.5)
Texas,"5,856",3.5 (2.8--4.5),5.4 (4.6--6.3),8.9 (7.8--10.2)
Utah,"4,621",3.4 (2.8--4.2),5.4 (4.6--6.3),8.8 (7.8--9.9)
